column_names,importances,abs_importances,cumsum
DAYS_LAST_PHONE_CHANGE,0.0036434752,0.0036434752,0.56919277
NAME_TYPE_SUITE_Children,0.003627113,0.003627113,0.5728199
OCCUPATION_TYPE_Drivers,0.0036092806,0.0036092806,0.5764292
LANDAREA_MEDI,0.0035944364,0.0035944364,0.58002365
ORGANIZATION_TYPE_Industry: type 1,0.003592927,0.003592927,0.58361655
FLOORSMAX_MODE,0.0035747893,0.0035747893,0.58719134
EXT_SOURCE_3_miss,0.0035595966,0.0035595966,0.59075093
DEF_60_CNT_SOCIAL_CIRCLE_0.0,0.0035572136,0.0035572136,0.59430814
AMT_REQ_CREDIT_BUREAU_WEEK_0.0,0.0035495863,0.0035495863,0.5978577
HOUSETYPE_MODE_specific housing,0.0035198932,0.0035198932,0.6013776
NAME_TYPE_SUITE_nan,0.003509468,0.003509468,0.60488707
NAME_INCOME_TYPE_infrequent_sklearn,0.00348956,0.00348956,0.6083766
CNT_FAM_MEMBERS_3.0,0.0034585965,0.0034585965,0.61183524
ORGANIZATION_TYPE_Services,0.0034585532,0.0034585532,0.6152938
HOUR_APPR_PROCESS_START_infrequent_sklearn,0.0034352702,0.0034352702,0.61872905
AMT_REQ_CREDIT_BUREAU_YEAR_0.0,0.0034313272,0.0034313272,0.6221604
NAME_HOUSING_TYPE_Office apartment,0.0034234917,0.0034234917,0.6255839
DAYS_REGISTRATION,0.003370626,0.003370626,0.6289545
FLAG_DOCUMENT_8_1,0.003367981,0.003367981,0.6323225
OBS_60_CNT_SOCIAL_CIRCLE_1.0,0.0033615085,0.0033615085,0.635684
LIVE_REGION_NOT_WORK_REGION_1,0.0033523554,0.0033523554,0.63903636
ORGANIZATION_TYPE_Business Entity Type 3,0.003352352,0.003352352,0.6423887
OBS_60_CNT_SOCIAL_CIRCLE_10.0,0.0033338834,0.0033338834,0.64572257
LIVINGAPARTMENTS_MODE,0.0033260474,0.0033260474,0.6490486
NAME_TYPE_SUITE_Family,0.0033164378,0.0033164378,0.6523651
BASEMENTAREA_AVG,0.0033071726,0.0033071726,0.65567225
LIVINGAPARTMENTS_AVG,0.003293385,0.003293385,0.65896565
BASEMENTAREA_MODE,0.0032925943,0.0032925943,0.66225827
NAME_TYPE_SUITE_Unaccompanied,0.0032887722,0.0032887722,0.665547
HOUR_APPR_PROCESS_START_3,0.00325042,0.00325042,0.66879743
NONLIVINGAPARTMENTS_MEDI,0.0032478108,0.0032478108,0.67204523
OCCUPATION_TYPE_High skill tech staff,0.0032406396,0.0032406396,0.6752859
ORGANIZATION_TYPE_Government,0.0032283715,0.0032283715,0.67851424
AMT_REQ_CREDIT_BUREAU_YEAR_infrequent_sklearn,0.0032103364,0.0032103364,0.6817246
LIVINGAREA_MODE,0.0032071988,0.0032071988,0.6849318
HOUR_APPR_PROCESS_START_8,0.0032063827,0.0032063827,0.6881382
LIVINGAPARTMENTS_MEDI,0.0031899428,0.0031899428,0.6913281
NAME_INCOME_TYPE_Commercial associate,0.0031884992,0.0031884992,0.6945166
COMMONAREA_MODE,0.0031869535,0.0031869535,0.69770354
OCCUPATION_TYPE_Private service staff,0.0031844664,0.0031844664,0.700888
ELEVATORS_MEDI,0.0031648183,0.0031648183,0.7040528
ORGANIZATION_TYPE_Business Entity Type 2,0.0031535109,0.0031535109,0.7072063
NAME_FAMILY_STATUS_Single / not married,0.003128871,0.003128871,0.7103352
COMMONAREA_MEDI,0.0031189774,0.0031189774,0.7134542
CNT_CHILDREN_1,0.0031123916,0.0031123916,0.71656656
OCCUPATION_TYPE_Low-skill Laborers,0.003106455,0.003106455,0.71967304
OBS_30_CNT_SOCIAL_CIRCLE_9.0,0.003100396,0.003100396,0.72277343
REGION_POPULATION_RELATIVE,0.0030956315,0.0030956315,0.72586906
NAME_EDUCATION_TYPE_Lower secondary,0.003090567,0.003090567,0.7289596
CNT_CHILDREN_2,0.0030872244,0.0030872244,0.73204684
EMERGENCYSTATE_MODE_Yes,0.0030770558,0.0030770558,0.7351239
NAME_HOUSING_TYPE_With parents,0.0030557546,0.0030557546,0.7381796
DEF_60_CNT_SOCIAL_CIRCLE_1.0,0.003041451,0.003041451,0.7412211
OBS_30_CNT_SOCIAL_CIRCLE_11.0,0.0030262547,0.0030262547,0.7442473
NAME_FAMILY_STATUS_Widow,0.003010619,0.003010619,0.74725795
NAME_TYPE_SUITE_Other_B,0.0030032971,0.0030032971,0.7502612
OBS_60_CNT_SOCIAL_CIRCLE_6.0,0.002980154,0.002980154,0.75324136
REGION_RATING_CLIENT_W_CITY_2,0.0029758108,0.0029758108,0.7562172
NONLIVINGAREA_MEDI,0.0029678496,0.0029678496,0.759185
AMT_INCOME_TOTAL,0.0029564984,0.0029564984,0.7621415
OBS_60_CNT_SOCIAL_CIRCLE_0.0,0.002940993,0.002940993,0.76508254
FLAG_DOCUMENT_6_1,0.002940084,0.002940084,0.7680226
NAME_FAMILY_STATUS_Civil marriage,0.0029341471,0.0029341471,0.77095675
OBS_30_CNT_SOCIAL_CIRCLE_0.0,0.0029217505,0.0029217505,0.7738785
ELEVATORS_MODE,0.0029155693,0.0029155693,0.7767941
"WALLSMATERIAL_MODE_Stone, brick",0.0028949436,0.0028949436,0.779689
OBS_30_CNT_SOCIAL_CIRCLE_7.0,0.002892706,0.002892706,0.78258175
HOUR_APPR_PROCESS_START_18,0.002892116,0.002892116,0.7854739
