column_names,importances,abs_importances,cumsum
AMT_GOODS_PRICE,-1.0066896176276232,1.0066896176276232,0.0641336780121861
AMT_CREDIT,0.9129887776926952,0.9129887776926952,0.12229790983894333
EXT_SOURCE_3,-0.5052619384002067,0.5052619384002067,0.15448688437663274
EXT_SOURCE_2,-0.37853538289099836,0.37853538289099836,0.17860242698028253
NAME_INCOME_TYPE_Pensioner,-0.3581140807585904,0.3581140807585904,0.20141697949461776
FLOORSMAX_MODE,-0.24938974525009325,0.24938974525009325,0.21730497649125205
OBS_30_CNT_SOCIAL_CIRCLE_infrequent_sklearn,-0.2285648753122419,0.2285648753122419,0.2318662731029283
OBS_60_CNT_SOCIAL_CIRCLE_infrequent_sklearn,0.21290112852561902,0.21290112852561902,0.24542967157868747
EXT_SOURCE_1,-0.20053245621170512,0.20053245621170512,0.2582050928728719
NONLIVINGAREA_MODE,-0.186136989213157,0.186136989213157,0.2700634149647266
FLAG_EMP_PHONE_1,-0.18068469893048678,0.18068469893048678,0.2815743852777462
BASEMENTAREA_AVG,-0.17005937290759665,0.17005937290759665,0.2924084426416361
CNT_FAM_MEMBERS_6.0,0.1685176969922113,0.1685176969922113,0.3031442836883761
CNT_CHILDREN_4,-0.16098451720660367,0.16098451720660367,0.3134002046899321
BASEMENTAREA_MODE,0.16071322951837838,0.16071322951837838,0.3236388426313069
NAME_INCOME_TYPE_Working,0.15864483470559163,0.15864483470559163,0.33374570831179556
FLAG_DOCUMENT_3_1,0.1580577082763625,0.1580577082763625,0.3438151696357623
ELEVATORS_MODE,0.1538947105844174,0.1538947105844174,0.35361941678758946
DAYS_EMPLOYED,0.1525843346578769,0.1525843346578769,0.36334018316612154
COMMONAREA_MEDI,-0.1462064231713618,0.1462064231713618,0.37265462875371275
YEARS_BUILD_MODE,-0.14319198263762017,0.14319198263762017,0.38177703187340467
AMT_ANNUITY,0.13545460756494362,0.13545460756494362,0.3904065061768245
NONLIVINGAPARTMENTS_MODE,0.13427758668637807,0.13427758668637807,0.3989609954235617
YEARS_BEGINEXPLUATATION_MEDI,-0.1327074445854025,0.1327074445854025,0.40741545484365327
EXT_SOURCE_3_miss,-0.1308361991280804,0.1308361991280804,0.4157507018952648
LANDAREA_MODE,-0.12761712759743238,0.12761712759743238,0.42388086994990476
NONLIVINGAREA_AVG,0.12027579001431776,0.12027579001431776,0.43154333974632303
ORGANIZATION_TYPE_XNA,0.11715749541324352,0.11715749541324352,0.4390071507919302
DAYS_EMPLOYED_miss,0.11715749541324352,0.11715749541324352,0.44647096183753743
APARTMENTS_MEDI,-0.11714065842719011,0.11714065842719011,0.45393370024086904
ELEVATORS_MEDI,-0.11638705204814218,0.11638705204814218,0.46134842826640843
LIVINGAREA_MODE,0.1129313063224982,0.1129313063224982,0.4685429993738873
REGION_RATING_CLIENT_W_CITY_1,-0.10994466301270003,0.10994466301270003,0.47554729890508907
LIVINGAREA_MEDI,-0.10640262727156345,0.10640262727156345,0.4823259441971371
NAME_INCOME_TYPE_Commercial associate,0.10108207907601957,0.10108207907601957,0.4887656306692606
LANDAREA_AVG,0.09758037484109372,0.09758037484109372,0.49498223232163013
YEARS_BUILD_AVG,0.0972750521828892,0.0972750521828892,0.5011793826309956
CNT_FAM_MEMBERS_infrequent_sklearn,0.0949137107257381,0.0949137107257381,0.5072260977813627
FLOORSMIN_MODE,-0.09306490915168664,0.09306490915168664,0.5131550304069254
FLAG_OWN_CAR_Y,-0.09248772139919073,0.09248772139919073,0.5190471918442063
CNT_CHILDREN_infrequent_sklearn,-0.09009461716169961,0.09009461716169961,0.5247868945951857
COMMONAREA_AVG,0.08711892013945474,0.08711892013945474,0.5303370231304935
NONLIVINGAPARTMENTS_AVG,-0.08515944974013677,0.08515944974013677,0.5357623187068994
FLOORSMAX_AVG,0.08220538710579642,0.08220538710579642,0.5409994183403839
FLOORSMIN_MEDI,0.07947543657739026,0.07947543657739026,0.5460625996527569
FLAG_DOCUMENT_4_infrequent_sklearn,-0.07751591186291827,0.07751591186291827,0.5510009445459456
FLAG_DOCUMENT_6_1,0.07695954347946493,0.07695954347946493,0.555903844600789
YEARS_BEGINEXPLUATATION_MODE_miss,-0.07652802410888634,0.07652802410888634,0.5607792536356756
YEARS_BEGINEXPLUATATION_AVG_miss,-0.07652802410888634,0.07652802410888634,0.5656546626705621
YEARS_BEGINEXPLUATATION_MEDI_miss,-0.07652802410888634,0.07652802410888634,0.5705300717054486
OBS_30_CNT_SOCIAL_CIRCLE_12.0,0.07499832427750107,0.07499832427750107,0.5753080273895471
OBS_60_CNT_SOCIAL_CIRCLE_12.0,-0.07186956163185047,0.07186956163185047,0.5798866574298929
REGION_RATING_CLIENT_W_CITY_3,0.07129764714093902,0.07129764714093902,0.584428852228265
OBS_30_CNT_SOCIAL_CIRCLE_13.0,0.07095773765301125,0.07095773765301125,0.5889493922432061
FLAG_WORK_PHONE_1,0.07081460805932809,0.07081460805932809,0.5934608138296716
TOTALAREA_MODE_miss,0.07072381977248654,0.07072381977248654,0.5979664515214258
OBS_30_CNT_SOCIAL_CIRCLE_7.0,0.07005951361107195,0.07005951361107195,0.6024297679289314
CODE_GENDER_M,0.06962948184372254,0.06962948184372254,0.6068656880879615
CODE_GENDER_F,-0.06936353470914439,0.06936353470914439,0.6112846654201275
OBS_60_CNT_SOCIAL_CIRCLE_0.0,0.06654790478143542,0.06654790478143542,0.6155242660109195
EXT_SOURCE_1_miss,0.06499458528870153,0.06499458528870153,0.6196649085013668
